station_id,latitude,longitude
8530653,47.575743,8.572478
8573706,47.580637,8.571414
8506951,47.578834,8.572133
8573707,47.588181,8.567829
8573388,47.590079,8.565846
5402717,50.039529,14.244628
5454896,50.031738,14.23474
5501140,47.717493,19.258077
5602718,48.434861,18.681644
8573435,47.640216,8.674123
8502277,47.369382,8.381148
8502187,47.364686,8.377013
5402719,49.892755,16.572296
8508966,47.102063,7.604315
8577657,46.625663,6.826965
8577658,46.622587,6.825276
8577660,46.61663,6.818398
8500053,46.619695,6.817467
8504692,46.619807,6.822547
8577295,47.088524,8.112382
8571403,46.821667,7.442071
8571404,46.822103,7.455435
8507795,46.821432,7.438693
8571402,46.826227,7.454861
8571405,46.819828,7.466127
8508884,47.024851,7.672411
8571530,47.028896,7.682882
8571529,47.018627,7.661631
8571531,47.039194,7.693443
8508661,47.056311,7.698089
8571533,47.06192,7.702073
8508662,47.034788,7.69014
8588907,47.066803,7.70918
8505175,46.678666,8.754951
8587601,46.674756,8.749621
8594378,47.258768,8.989002
8594377,47.259567,8.986969
8509173,46.7747,9.145608
8575094,46.780058,9.154696
8575052,46.7861,9.136044
8575093,46.779031,9.15034
8583522,46.776781,9.17151
8580605,46.778368,9.155815
8575055,46.775777,9.146017
8575053,46.792543,9.12577
8507959,46.693652,6.692766
8570306,46.692572,6.69604
8504156,46.857279,6.915452
8577639,46.865313,6.912725
8595537,46.85733,6.918999
8577629,46.853269,6.908962
8570410,46.86004,6.916491
8500843,46.705847,7.033771
8504262,46.716101,7.03203
8594243,46.648758,6.958533
8500564,47.509266,8.205232
8500552,47.508132,8.220025
8572488,47.507988,8.21
8572487,47.507228,8.228037
8500603,46.929872,7.535166
8500545,46.930141,7.531145
8500604,46.931036,7.538896
8573867,47.178104,9.051236
8503368,47.189721,9.049548
8506485,47.181358,9.0478
8573866,47.186703,9.049492
8573865,47.193073,9.047377
8598529,47.24048,9.524842
8583549,47.247011,9.525276
8583547,47.243415,9.524554
8583548,47.248778,9.528426
8574373,47.241091,9.529009
8574370,47.236045,9.520843
8581008,47.235779,9.538504
8582415,47.242815,9.529859
8574371,47.235326,9.526429
8509623,47.240474,9.524636
8574372,47.238217,9.526855
8582567,47.249868,9.558607
8580508,46.39491,10.115979
5400227,50.956839,14.550814
5403742,51.002478,14.577402
8501653,46.333767,7.621004
8503415,47.566173,8.374352
8580842,47.565732,8.374344
8572592,47.565702,8.377
8508696,47.264329,7.641913
8576892,47.267073,7.64103
8576893,47.267764,7.645328
8576470,47.072358,7.665033
8573241,47.453956,8.532627
8590762,47.43491,8.557398
8595711,47.446817,8.52554
8595712,47.452262,8.53692
8594236,47.445644,8.530665
8590765,47.438743,8.534756
8590766,47.451951,8.530314
8573240,47.462328,8.52766
8590768,47.46149,8.527111
8573242,47.449864,8.540283
8595713,47.448837,8.527138
8590767,47.449739,8.529924
8595709,47.452393,8.528469
8595710,47.448598,8.53636
8571431,46.831734,7.494433
8500033,47.425364,7.85057
8578296,47.424413,7.848155
8589099,46.680672,8.967891
8572309,47.431755,7.88479
8572308,47.436047,7.883371
8500781,47.433871,7.883991
8530855,46.902853,8.687705
8502114,47.403287,8.126378
8500631,47.403076,8.126924
8588570,47.397689,8.126356
8508782,47.087894,7.42431
5402720,50.624801,16.267867
8571695,46.785639,7.378885
8507781,46.777853,7.377864
8507733,46.775909,7.383575
8581382,46.775267,7.374351
8507742,46.795145,7.403062
8571697,46.791039,7.406689
8571696,46.776617,7.396706
8507783,46.781588,7.406043
8589276,46.747358,7.385675
8589274,46.738736,7.392466
8575021,46.782524,9.190539
